technology,vehicle_type,category,available year,region,range (km)
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2020,China,330
Electric,Transit bus,Bus,2020,China,205
Electric,Transit bus,Bus,2020,China,540
Electric,Transit bus,Minibus,2019,China,315
Electric,Transit bus,Bus,2019,China,250
Electric,Transit bus,Bus,2019,China,170
Electric,Transit bus,Bus,2019,China,505
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,School bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Minibus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,China,260
Electric,Transit bus,Bus,2019,China,300
Electric,Shuttle bus,Bus,2020,China,180
Electric,Transit bus,Bus,2019,China,300
Electric,Shuttle bus,Bus,2019,Latin America,Not Available
Electric,Transit bus,Minibus,2020,China,280
Electric,Shuttle bus,Bus,2020,China,130
Electric,Shuttle bus,Bus,2020,China,175
Electric,Shuttle bus,Bus,2020,China,305
Electric,MD Truck,MFT,2022,U.S. & Canada,Not Available
Electric,MD Truck,MFT,2022,U.S. & Canada,Not Available
Electric,MD Truck,MFT,2022,U.S. & Canada,Not Available
Electric,Transit bus,Bus,2020,China,290
Electric,Transit bus,Bus,2019,China,255
Electric,Transit bus,Bus,2020,China,675
Electric,Transit bus,Bus,2019,China,Not Available
Electric,Transit bus,Bus,2019,India,Not Available
Electric,Transit bus,Bus,2019,China,250
Fuel Cell,Transit bus,Bus,2019,China,500
Electric,Transit bus,Minibus,2019,China,250
Electric,Transit bus,Minibus,2019,China,155
Electric,Transit bus,Bus,2019,China,320
Electric,Transit bus,Bus,2019,China,260
Electric,Transit bus,Bus,2020,China,215
Electric,Transit bus,Bus,2019,China,305
Electric,Transit bus,Bus,2019,China,210
Electric,Transit bus,Bus,2020,China,350
Electric,Transit bus,Bus,2020,China,635
Electric,Transit bus,Minibus,2020,China,480
